Match_Code,,,,,,,,,,,,,,,
0: no match,,,,,,,,,,,,,,,
1: match year/month/day/lat/lon,,,,,,,,,,,,,,,
2: match year/month/day and lat/lon +/-0.2 deg,,,,,,,,,,,,,,,
3: match year/month/day; 3 closest locations,,,,,,,,,,,,,,,
4: match year/month and day +/-3d; 3 closest locations,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
pl_rec,pl_year,pl_month,pl_day,pl_heure,pl_latitude,pl_longitude,ctd_rec,ctd_year,ctd_month,ctd_day,ctd_time,ctd_latitude,ctd_longitude,ctd_odf_filename,match_code
1,1978,10,12,323,42,-67.16,NA,NA,NA,NA,NA,NA,NA,NA,0
2,1978,10,12,2100,41.75,-67.16,NA,NA,NA,NA,NA,NA,NA,NA,0
3,1978,10,12,2351,42.09,-67.16,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1978,10,13,109,42.15,-67.15,NA,NA,NA,NA,NA,NA,NA,NA,0
5,1978,10,13,237,42.19,-67.15,NA,NA,NA,NA,NA,NA,NA,NA,0
6,1978,10,16,1601,41.4,-66.97,NA,NA,NA,NA,NA,NA,NA,NA,0
7,1978,10,16,2247,42.14,-67.23,NA,NA,NA,NA,NA,NA,NA,NA,0
8,1978,10,17,130,42.27,-67.24,NA,NA,NA,NA,NA,NA,NA,NA,0
9,1978,10,18,938,42.08,-66.66,NA,NA,NA,NA,NA,NA,NA,NA,0
10,1978,10,18,1509,42.14,-66,NA,NA,NA,NA,NA,NA,NA,NA,0
11,1978,10,18,2240,42.02,-66,NA,NA,NA,NA,NA,NA,NA,NA,0
12,1979,4,21,201,43.99,-61.69,NA,NA,NA,NA,NA,NA,NA,NA,0
13,1981,10,9,10,44.01,-62.95,NA,NA,NA,NA,NA,NA,NA,NA,0
14,1981,10,18,930,43.97,-62.9,NA,NA,NA,NA,NA,NA,NA,NA,0
15,1981,10,18,1600,44.01,-62.93,NA,NA,NA,NA,NA,NA,NA,NA,0
16,1981,10,18,2315,44.01,-62.89,NA,NA,NA,NA,NA,NA,NA,NA,0
17,1984,10,18,2100,43.89,-62.89,NA,NA,NA,NA,NA,NA,NA,NA,0
18,1984,10,20,2330,43.77,-58.55,NA,NA,NA,NA,NA,NA,NA,NA,0
