"pl_rec","pl_year","pl_month","pl_day","pl_heure","pl_latitude","pl_longitude","ctd_rec","ctd_year","ctd_month","ctd_day","ctd_time","ctd_latitude","ctd_longitude","ctd_odf_filename","match_code"
1,1978,10,12,323,42,-67.16,1583,1978,10,12,406,42,-67.1667,"CTD_78031_9_1_UP.ODF",2
1,1978,10,12,323,42,-67.16,1584,1978,10,12,603,42.1667,-67.16,"CTD_78031_10_1_UP.ODF",2
1,1978,10,12,323,42,-67.16,1587,1978,10,12,900,42.1667,-67.1717,"CTD_78031_13_1_UP.ODF",2
1,1978,10,12,323,42,-67.16,1588,1978,10,12,930,42.125,-67.17,"CTD_78031_14_1_UP.ODF",2
1,1978,10,12,323,42,-67.16,1589,1978,10,12,958,42.0833,-67.1683,"CTD_78031_15_1_UP.ODF",2
1,1978,10,12,323,42,-67.16,1590,1978,10,12,1025,42.0417,-67.1667,"CTD_78031_16_1_UP.ODF",2
1,1978,10,12,323,42,-67.16,1591,1978,10,12,1051,42,-67.1667,"CTD_78031_17_1_UP.ODF",2
2,1978,10,12,2100,41.75,-67.16,1583,1978,10,12,406,42,-67.1667,"CTD_78031_9_1_UP.ODF",3
2,1978,10,12,2100,41.75,-67.16,1591,1978,10,12,1051,42,-67.1667,"CTD_78031_17_1_UP.ODF",3
2,1978,10,12,2100,41.75,-67.16,1600,1978,10,12,2128,41.75,-67.5,"CTD_78031_26_1_UP.ODF",3
3,1978,10,12,2351,42.09,-67.16,1583,1978,10,12,406,42,-67.1667,"CTD_78031_9_1_UP.ODF",2
3,1978,10,12,2351,42.09,-67.16,1584,1978,10,12,603,42.1667,-67.16,"CTD_78031_10_1_UP.ODF",2
3,1978,10,12,2351,42.09,-67.16,1585,1978,10,12,737,42.25,-67.1633,"CTD_78031_11_1_UP.ODF",2
3,1978,10,12,2351,42.09,-67.16,1586,1978,10,12,814,42.2078,-67.1667,"CTD_78031_12_1_UP.ODF",2
3,1978,10,12,2351,42.09,-67.16,1587,1978,10,12,900,42.1667,-67.1717,"CTD_78031_13_1_UP.ODF",2
3,1978,10,12,2351,42.09,-67.16,1588,1978,10,12,930,42.125,-67.17,"CTD_78031_14_1_UP.ODF",2
3,1978,10,12,2351,42.09,-67.16,1589,1978,10,12,958,42.0833,-67.1683,"CTD_78031_15_1_UP.ODF",2
3,1978,10,12,2351,42.09,-67.16,1590,1978,10,12,1025,42.0417,-67.1667,"CTD_78031_16_1_UP.ODF",2
3,1978,10,12,2351,42.09,-67.16,1591,1978,10,12,1051,42,-67.1667,"CTD_78031_17_1_UP.ODF",2
4,1978,10,13,109,42.15,-67.15,1601,1978,10,13,4,42.0933,-67.2517,"CTD_78031_51_1_UP.ODF",2
4,1978,10,13,109,42.15,-67.15,1602,1978,10,13,101,42.0933,-67.2517,"CTD_78031_52_1_UP.ODF",2
4,1978,10,13,109,42.15,-67.15,1603,1978,10,13,200,42.0933,-67.2517,"CTD_78031_53_1_UP.ODF",2
4,1978,10,13,109,42.15,-67.15,1604,1978,10,13,259,42.0933,-67.2517,"CTD_78031_54_1_UP.ODF",2
4,1978,10,13,109,42.15,-67.15,1605,1978,10,13,449,42.25,-67.2417,"CTD_78031_27_1_UP.ODF",2
4,1978,10,13,109,42.15,-67.15,1606,1978,10,13,525,42.2083,-67.2367,"CTD_78031_28_1_UP.ODF",2
4,1978,10,13,109,42.15,-67.15,1607,1978,10,13,554,42.1667,-67.2367,"CTD_78031_29_1_UP.ODF",2
4,1978,10,13,109,42.15,-67.15,1608,1978,10,13,702,42.125,-67.24,"CTD_78031_30_1_UP.ODF",2
4,1978,10,13,109,42.15,-67.15,1609,1978,10,13,729,42.0833,-67.24,"CTD_78031_31_1_UP.ODF",2
4,1978,10,13,109,42.15,-67.15,1610,1978,10,13,753,42.0333,-67.2333,"CTD_78031_32_1_UP.ODF",2
4,1978,10,13,109,42.15,-67.15,1611,1978,10,13,814,42,-67.2333,"CTD_78031_33_1_UP.ODF",2
4,1978,10,13,109,42.15,-67.15,1612,1978,10,13,846,42.0417,-67.2333,"CTD_78031_34_1_UP.ODF",2
4,1978,10,13,109,42.15,-67.15,1613,1978,10,13,907,42.0833,-67.2333,"CTD_78031_35_1_UP.ODF",2
4,1978,10,13,109,42.15,-67.15,1614,1978,10,13,924,42.1033,-67.2333,"CTD_78031_36_1_UP.ODF",2
4,1978,10,13,109,42.15,-67.15,1615,1978,10,13,955,42.105,-67.2417,"CTD_78031_37_1_UP.ODF",2
4,1978,10,13,109,42.15,-67.15,1616,1978,10,13,1103,42.1105,-67.2487,"CTD_78031_38_1_UP.ODF",2
4,1978,10,13,109,42.15,-67.15,1617,1978,10,13,1213,42.0933,-67.2517,"CTD_78031_39_1_UP.ODF",2
