STATION	GEAR_MODEL	DATE_	Year	Month	Day	D/N	HEURE	Region	LONGITUDE	LATITUDE	PROFONDEUR_Min	PROFONDEUR_Max	PROFONDEUR_FOND_corr	Z_habitat	TAXON	STADE	Ind/m3	ind/m2
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	0	16	251.4	Basins_100-325m	Cfin	CIII	87.6	1401
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	0	16	251.4	Basins_100-325m	Cfin	CIV	325.8	5213
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	0	16	251.4	Basins_100-325m	Cfin	CV	143.6	2298
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	0	16	251.4	Basins_100-325m	Cfin	CVI	7	112
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	0	16	251.4	Basins_100-325m	Chyp	CIV	7	112
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	16	32	251.4	Basins_100-325m	Cfin	CII	4.9	79
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	16	32	251.4	Basins_100-325m	Cfin	CIII	108	1728
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	16	32	251.4	Basins_100-325m	Cfin	CIV	112.9	1807
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	16	32	251.4	Basins_100-325m	Cfin	CV	83.5	1336
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	16	32	251.4	Basins_100-325m	Cfin	CVI	4.9	79
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	16	32	251.4	Basins_100-325m	Cfin	CVI	8.2	131
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	16	32	251.4	Basins_100-325m	Cglac	CIV	4.9	79
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	16	32	251.4	Basins_100-325m	Cglac	CV	3.3	52
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	16	32	251.4	Basins_100-325m	Chyp	CIV	6.5	105
1	BIONESS 1.0m	87-06-13	1987	6	13	N	204	WSS	-62.99	43.7	16	32	251.4	Basins_100-325m	Chyp	CV	4.9	79
