	TID	DATA_SET	STATION	GEAR_MODEL	DATE_	Year	Month	Day	D.N	HEURE	Region	LONGITUDE	LATITUDE	ZMin	ZMax	Zstation	Z_habitat	TAXON	STADE	Ind.m3	ind.m2	ID	total_abund	cum_abund	pcum	percZ_stn
1	78-10-12_41.75_-67.16_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	78-10-12	1978	10	12	N	2100	WSS	-67.16	41.75	4	6	50.3	Shelf_0-100m	Cfin	CI_III	0	0	78-10-12_41.75_-67.16	0	0	0	0.119284294
2	78-10-12_42.09_-67.16_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	78-10-12	1978	10	12	N	2351	WSS	-67.16	42.09	0	10	54.8	Shelf_0-100m	Cfin	CI_III	0	0	78-10-12_42.09_-67.16	0	0	0	0.182481752
3	78-10-12_42_-67.16_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	78-10-12	1978	10	12	N	323	WSS	-67.16	42	0	4	48.7	Shelf_0-100m	Cfin	CI_III	0	0	78-10-12_42_-67.16	0	0	0	0.082135524
4	78-10-13_42.15_-67.15_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	78-10-13	1978	10	13	N	109	WSS	-67.15	42.15	10	20	100.1	Basins_100-325m	Cfin	CI_III	0	0	78-10-13_42.15_-67.15	0	0	0	0.1998002
5	78-10-13_42.19_-67.15_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	78-10-13	1978	10	13	N	237	WSS	-67.15	42.19	0	10	156.6	Basins_100-325m	Cfin	CI_III	0	0	78-10-13_42.19_-67.15	0	0	0	0.06385696
6	78-10-16_41.4_-66.97_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	78-10-16	1978	10	16	D	1601	WSS	-66.97	41.4	9	15	63	Shelf_0-100m	Cfin	CI_III	0	0	78-10-16_41.4_-66.97	0	0	0	0.238095238
7	78-10-16_42.14_-67.23_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	78-10-16	1978	10	16	N	2247	WSS	-67.23	42.14	0	7	102.2	Basins_100-325m	Cfin	CI_III	0	0	78-10-16_42.14_-67.23	0	0	0	0.068493151
8	78-10-17_42.27_-67.24_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	78-10-17	1978	10	17	N	130	WSS	-67.24	42.27	0	6	267.9	Basins_100-325m	Cfin	CI_III	0	0	78-10-17_42.27_-67.24	0	0	0	0.022396417
9	78-10-18_42.02_-66_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	78-10-18	1978	10	18	N	2240	WSS	-66	42.02	0	6	127.6	Basins_100-325m	Cfin	CI_III	0	0	78-10-18_42.02_-66	0	0	0	0.047021944
10	78-10-18_42.08_-66.66_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	78-10-18	1978	10	18	D	938	WSS	-66.66	42.08	0	5	78.3	Shelf_0-100m	Cfin	CI_III	0	0	78-10-18_42.08_-66.66	0	0	0	0.06385696
11	78-10-18_42.14_-66_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	78-10-18	1978	10	18	D	1509	WSS	-66	42.14	0	9	228.9	Basins_100-325m	Cfin	CI_III	0	0	78-10-18_42.14_-66	0	0	0	0.03931848
12	79-04-21_43.99_-61.69_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	79-04-21	1979	4	21	N	201	WSS	-61.69	43.99	0	10	180	Basins_100-325m	Cfin	CI_III	0	0	79-04-21_43.99_-61.69	0	0	0	0.055555556
13	81-10-09_44.01_-62.95_Cfin_CI_III	SS_CALSPP	HL3	BIONESS 1.0m	81-10-09	1981	10	9	N	10	ESS	-62.95	44.01	0	10	232	Basins_100-325m	Cfin	CI_III	0	0	81-10-09_44.01_-62.95	0	0	0	0.043103448
14	81-10-18_43.97_-62.9_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	81-10-18	1981	10	18	D	930	WSS	-62.9	43.97	0	10	254.9	Basins_100-325m	Cfin	CI_III	0	0	81-10-18_43.97_-62.9	0	0	0	0.039231071
15	81-10-18_44.01_-62.89_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	81-10-18	1981	10	18	N	2315	ESS	-62.89	44.01	0	10	249.8	Basins_100-325m	Cfin	CI_III	0	0	81-10-18_44.01_-62.89	0	0	0	0.040032026
16	81-10-18_44.01_-62.93_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	81-10-18	1981	10	18	D	1600	ESS	-62.93	44.01	100	120	240.9	Basins_100-325m	Cfin	CI_III	0	0	81-10-18_44.01_-62.93	0	0	0	0.498132005
17	84-10-18_43.89_-62.89_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	84-10-18	1984	10	18	N	2100	WSS	-62.89	43.89	0	5	262	Basins_100-325m	Cfin	CI_III	1.8	9	84-10-18_43.89_-62.89	42	9	0.214285714	0.019083969
18	84-10-20_43.77_-58.55_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	84-10-20	1984	10	20	N	2330	ESS	-58.55	43.77	0	20	2454.3	Oceanic_>750m	Cfin	CI_III	1.05	21	84-10-20_43.77_-58.55	21	21	1	0.008148963
19	84-10-22_45.78_-58.78_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	84-10-22	1984	10	22	D	1300	ESS	-58.78	45.78	0	10	264.4	Basins_100-325m	Cfin	CI_III	122.7	1227	84-10-22_45.78_-58.78	1282	1227	0.957098284	0.037821483
20	84-10-22_45.81_-58.74_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	84-10-22	1984	10	22	D	1400	ESS	-58.74	45.81	130	140	258.6	Basins_100-325m	Cfin	CI_III	0.1	1	84-10-22_45.81_-58.74	2	1	0.5	0.541376643
21	84-10-23_44.79_-56.63_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	84-10-23	1984	10	23	N	2256	ESS	-56.63	44.79	0	100	403.5	Slope_325-750m	Cfin	CI_III	0	0	84-10-23_44.79_-56.63	26	0	0	0.247831475
22	84-10-23_45.39_-57.07_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	84-10-23	1984	10	23	D	1530	ESS	-57.07	45.39	200	220	429.8	Slope_325-750m	Cfin	CI_III	0	0	84-10-23_45.39_-57.07	16	0	0	0.511865984
23	84-10-23_45.43_-57.11_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	84-10-23	1984	10	23	D	1400	ESS	-57.11	45.43	0	20	424.7	Slope_325-750m	Cfin	CI_III	2.6	52	84-10-23_45.43_-57.11	66	52	0.787878788	0.047092065
24	84-10-23_46.14_-57.81_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	84-10-23	1984	10	23	N	300	ESS	-57.81	46.14	200	224	479	Slope_325-750m	Cfin	CI_III	0	0	84-10-23_46.14_-57.81	13	0	0	0.467640919
25	84-10-23_46.17_-57.84_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	84-10-23	1984	10	23	N	200	ESS	-57.84	46.17	0	20	469.6	Slope_325-750m	Cfin	CI_III	21.6	432	84-10-23_46.17_-57.84	691	432	0.625180897	0.042589438
26	84-10-24_44.5_-56.21_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	84-10-24	1984	10	24	D	1110	ESS	-56.21	44.5	0	60	1719.2	Oceanic_>750m	Cfin	CI_III	0.016666667	1	84-10-24_44.5_-56.21	14	1	0.071428571	0.034899953
27	84-10-24_44.53_-56.4_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	84-10-24	1984	10	24	D	923	ESS	-56.4	44.53	400	450	1340.1	Oceanic_>750m	Cfin	CI_III	0	0	84-10-24_44.53_-56.4	1	0	0	0.335795836
28	84-10-26_43.37_-62.26_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	84-10-26	1984	10	26	D	930	WSS	-62.26	43.37	0	9	107.1	Basins_100-325m	Cfin	CI_III	0	0	84-10-26_43.37_-62.26	8	0	0	0.084033613
29	84-10-26_43.69_-62.68_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	84-10-26	1984	10	26	N	2000	WSS	-62.68	43.69	0	13	147.2	Basins_100-325m	Cfin	CI_III	0.692307692	9	84-10-26_43.69_-62.68	9	9	1	0.088315217
30	84-10-26_43.87_-62.91_Cfin_CI_III	SS_CALSPP	not assigned	BIONESS 1.0m	84-10-26	1984	10	26	N	2338	WSS	-62.91	43.87	0	10	262.6	Basins_100-325m	Cfin	CI_III	49.6	496	84-10-26_43.87_-62.91	1034	496	0.479690522	0.038080731
