,TID,DATA_SET,STATION,GEAR_MODEL,DATE_,Year,Month,Day,D.N,HEURE,Region,LONGITUDE,LATITUDE,ZMin,ZMax,Zstation,Z_habitat,TAXON,STADE,Ind.m3,ind.m2,ID,total_abund,cum_abund,pcum,percZ_stn,lInd.m3
1,08-11-01_47.433_-59.558_CV,Cfin_GSL,TDC5,NA,08/11/2001,2008,11,1,D,17,NEGSL,-59.558,47.433,0,25,440,Slope_325-750m,Cfin,CV,19.44,486,08-11-01_47.433_-59.558,16192.3,486,0.030014266,0.056818182,3.017493765
2,08-11-01_47.433_-59.558_CV,Cfin_GSL,TDC5,NA,08/11/2001,2008,11,1,D,17,NEGSL,-59.558,47.433,50,55,440,Slope_325-750m,Cfin,CV,14.14,70.7,08-11-01_47.433_-59.558,16192.3,556.7,0.034380539,0.125,2.717340248
3,08-11-01_47.433_-59.558_CV,Cfin_GSL,TDC5,NA,08/11/2001,2008,11,1,D,17,NEGSL,-59.558,47.433,60,75,440,Slope_325-750m,Cfin,CV,13.11333333,196.7,08-11-01_47.433_-59.558,16192.3,753.4,0.046528288,0.170454545,2.647119977
4,08-11-01_47.433_-59.558_CV,Cfin_GSL,TDC5,NA,08/11/2001,2008,11,1,D,17,NEGSL,-59.558,47.433,90,113,440,Slope_325-750m,Cfin,CV,12.61304348,290.1,08-11-01_47.433_-59.558,16192.3,1043.5,0.064444211,0.256818182,2.611028412
5,08-11-01_47.433_-59.558_CV,Cfin_GSL,TDC5,NA,08/11/2001,2008,11,1,D,17,NEGSL,-59.558,47.433,135,153,440,Slope_325-750m,Cfin,CV,15.4,277.2,08-11-01_47.433_-59.558,16192.3,1320.7,0.081563459,0.347727273,2.797281335
6,08-11-01_47.433_-59.558_CV,Cfin_GSL,TDC5,NA,08/11/2001,2008,11,1,D,17,NEGSL,-59.558,47.433,170,175,440,Slope_325-750m,Cfin,CV,36.3,181.5,08-11-01_47.433_-59.558,16192.3,1502.2,0.092772491,0.397727273,3.618993327
7,08-11-01_47.433_-59.558_CV,Cfin_GSL,TDC5,NA,08/11/2001,2008,11,1,D,17,NEGSL,-59.558,47.433,180,240,440,Slope_325-750m,Cfin,CV,97.23,5833.8,08-11-01_47.433_-59.558,16192.3,7336,0.453054847,0.545454545,4.587311668
8,08-11-01_47.433_-59.558_CV,Cfin_GSL,TDC5,NA,08/11/2001,2008,11,1,D,17,NEGSL,-59.558,47.433,300,350,440,Slope_325-750m,Cfin,CV,150.802,7540.1,08-11-01_47.433_-59.558,16192.3,14876.1,0.918714451,0.795454545,5.02257704
9,08-11-01_47.433_-59.558_CV,Cfin_GSL,TDC5,NA,08/11/2001,2008,11,1,D,17,NEGSL,-59.558,47.433,400,440,440,Slope_325-750m,Cfin,CV,32.905,1316.2,08-11-01_47.433_-59.558,16192.3,16192.3,1,1,3.523562496
10,08-11-01_48.21_-61.61_CV,Cfin_GSL,TCEN1,NA,08/11/2001,2008,11,1,D,10,NEGSL,-61.61,48.21,0,30,285,Basins_100-325m,Cfin,CV,56.54333333,1696.3,08-11-01_48.21_-61.61,42914.2,1696.3,0.039527709,0.105263158,4.052538287
