"TID" "DATA_SET" "STATION" "GEAR_MODEL" "DATE_" "Year" "Month" "Day" "D.N" "HEURE" "Region" "LONGITUDE" "LATITUDE" "ZMin" "ZMax" "Zstation" "Z_habitat" "TAXON" "STADE" "Ind.m3" "ind.m2" "ID" "total_abund" "cum_abund" "pcum" "percZ_stn" "lInd.m3"
"1" "08-11-01_47.433_-59.558_CI_III" "Cfin_GSL" "TDC5" NA "08-11-01" 2008 "11" 1 "D" 17 "NEGSL" -59.558 47.433 0 25 440 "Slope_325-750m" "Cfin" "CI_III" 1.58 39.5 "08-11-01_47.433_-59.558" 65.4 39.5 0.603975535168196 0.0568181818181818 0.947789398933526
"2" "08-11-01_48.21_-61.61_CI_III" "Cfin_GSL" "TCEN1" NA "08-11-01" 2008 "11" 1 "D" 10 "NEGSL" -61.61 48.21 0 30 285 "Basins_100-325m" "Cfin" "CI_III" 20.3466666666667 610.4 "08-11-01_48.21_-61.61" 649.9 610.4 0.939221418679797 0.105263157894737 3.0608955994604
"3" "08-11-01_48.667_-68.583_CI_III" "Cfin_GSL" "TESL3" NA "08-11-01" 2008 "11" 1 "D" 12 "LSLE" -68.583 48.667 0 50 320 "Basins_100-325m" "Cfin" "CI_III" 3.334 166.7 "08-11-01_48.667_-68.583" 223.9 166.7 0.74452880750335 0.15625 1.46649090311417
"4" "08-11-01_48.75_-68.667_CI_III" "Cfin_GSL" "TESL5" NA "08-11-01" 2008 "11" 1 "D" 16 "LSLE" -68.667 48.75 0 40 330 "Slope_325-750m" "Cfin" "CI_III" 21.0425 841.7 "08-11-01_48.75_-68.667" 1058.9 841.7 0.794881480781944 0.121212121212121 3.09297240797905
"5" "08-11-01_48.792_-60.973_CI_III" "Cfin_GSL" "TCEN5" NA "08-11-01" 2008 "11" 1 "N" 19 "NEGSL" -60.973 48.792 0 45 240 "Basins_100-325m" "Cfin" "CI_III" 7.93333333333333 357 "08-11-01_48.792_-60.973" 464 357 0.769396551724138 0.1875 2.1897895988487
"6" "08-11-01_49.217_-64.8_CI_III" "Cfin_GSL" "TASO1" NA "08-11-01" 2008 "11" 1 "N" 5 "NWGSL" -64.8 49.217 0 60 222 "Basins_100-325m" "Cfin" "CI_III" 8.34333333333333 500.6 "08-11-01_49.217_-64.8" 693.2 500.6 0.722158107328332 0.27027027027027 2.23466307650859
"7" "08-11-01_49.4_-66.217_CI_III" "Cfin_GSL" "TSI2" NA "08-11-01" 2008 "11" 1 "N" 20 "NWGSL" -66.217 49.4 0 30 260 "Basins_100-325m" "Cfin" "CI_III" 19.7966666666667 593.9 "08-11-01_49.4_-66.217" 1554.6 593.9 0.382027531197736 0.115384615384615 3.03479271745459
"8" "08-11-01_49.55_-64.517_CI_III" "Cfin_GSL" "TASO4" NA "08-11-01" 2008 "11" 1 "D" 11 "NWGSL" -64.517 49.55 0 25 285 "Basins_100-325m" "Cfin" "CI_III" 13.244 331.1 "08-11-01_49.55_-64.517" 7242.5 331.1 0.045716258198136 0.087719298245614 2.65633576541553
"9" "08-11-01_49.85_-59.45_CI_III" "Cfin_GSL" "TBB5" NA "08-11-01" 2008 "11" 1 "N" 19 "NEGSL" -59.45 49.85 0 40 255 "Basins_100-325m" "Cfin" "CI_III" 0.3425 13.7 "08-11-01_49.85_-59.45" 511.6 13.7 0.0267787333854574 0.156862745098039 0.294533547400883
"10" "08-11-01_49.882_-66.267_CI_III" "Cfin_GSL" "TSI5" NA "08-11-01" 2008 "11" 1 "D" 5 "NWGSL" -66.267 49.882 0 30 320 "Basins_100-325m" "Cfin" "CI_III" 43.83 1314.9 "08-11-01_49.882_-66.267" 2573.4 1314.9 0.510958265329914 0.09375 3.80287755816735
"11" "09-11-01_47.43_-59.54_CI_III" "Cfin_GSL" "TDC5" NA "09-11-01" 2009 "11" 1 "N" 17 "NEGSL" -59.54 47.43 0 53 461 "Slope_325-750m" "Cfin" "CI_III" 0.0735849056603774 3.9 "09-11-01_47.43_-59.54" 2522.1 3.9 0.00154633043891995 0.114967462039046 0.0710034275801635
"12" "09-11-01_48.66_-68.6_CI_III" "Cfin_GSL" "TESL3" NA "09-11-01" 2009 "11" 1 "D" 11 "LSLE" -68.6 48.66 0 20 316 "Basins_100-325m" "Cfin" "CI_III" 0.67 13.4 "09-11-01_48.66_-68.6" 455.4 13.4 0.0294246815985946 0.0632911392405063 0.512823626428664
"13" "09-11-01_48.79_-60.96_CI_III" "Cfin_GSL" "TCEN5" NA "09-11-01" 2009 "11" 1 "N" 5 "NEGSL" -60.96 48.79 0 54 408 "Slope_325-750m" "Cfin" "CI_III" 5.96296296296296 322 "09-11-01_48.79_-60.96" 336.1 322 0.958048199940494 0.132352941176471 1.94060509682562
"14" "09-11-01_49.22_-64.8_CI_III" "Cfin_GSL" "TASO1" NA "09-11-01" 2009 "11" 1 "D" 14 "NWGSL" -64.8 49.22 0 85 226 "Basins_100-325m" "Cfin" "CI_III" 9.31294117647059 791.6 "09-11-01_49.22_-64.8" 835.7 791.6 0.947229867177217 0.376106194690265 2.33339953149439
"15" "09-11-01_49.4_-66.22_CI_III" "Cfin_GSL" "TSI2" NA "09-11-01" 2009 "11" 1 "N" 3 "NWGSL" -66.22 49.4 0 30 330 "Slope_325-750m" "Cfin" "CI_III" 2.14666666666667 64.4 "09-11-01_49.4_-66.22" 82 64.4 0.785365853658537 0.0909090909090909 1.1463436914893
"16" "09-11-01_49.55_-64.53_CI_III" "Cfin_GSL" "TASO4" NA "09-11-01" 2009 "11" 1 "N" 20 "NWGSL" -64.53 49.55 0 44 282 "Basins_100-325m" "Cfin" "CI_III" 85.525 3763.1 "09-11-01_49.55_-64.53" 4001.2 3763.1 0.940492852144357 0.156028368794326 4.46043338952141
"17" "09-11-01_49.85_-59.45_CI_III" "Cfin_GSL" "TBB5" NA "09-11-01" 2009 "11" 1 "N" 4 "NEGSL" -59.45 49.85 0 39 244 "Basins_100-325m" "Cfin" "CI_III" 55.6076923076923 2168.7 "09-11-01_49.85_-59.45" 2704.5 2168.7 0.801885745978924 0.159836065573771 4.03614488247102
"18" "09-11-01_49.87_-66.27_CI_III" "Cfin_GSL" "TSI5" NA "09-11-01" 2009 "11" 1 "N" 19 "NWGSL" -66.27 49.87 0 30 266 "Basins_100-325m" "Cfin" "CI_III" 32.5 975 "09-11-01_49.87_-66.27" 983.3 975 0.991559035899522 0.112781954887218 3.51154543883102
"19" "92-03-18_48.67_-68.58_CI_III" "Cfin_GSL" "K5" NA "92-03-18" 1992 "3" 18 "N" 20 "LSLE" -68.58 48.67 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 0.556 13.9 "92-03-18_48.67_-68.58" 206.1 13.9 0.0674429888403688 0.0833333333333333 0.4421184257562
"20" "92-08-15_48.67_-68.58_CI_III" "Cfin_GSL" "K5" NA "92-08-15" 1992 "8" 15 "D" 17 "LSLE" -68.58 48.67 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 0.388 9.7 "92-08-15_48.67_-68.58" 121.4 9.7 0.0799011532125206 0.0833333333333333 0.327863862084613
"21" "94-09-04_49.39_-66.7_CI_III" "Cfin_GSL" "T4" NA "94-09-04" 1994 "9" 4 "D" 17 "NWGSL" -66.7 49.39 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 106.5 2662.5 "94-09-04_49.39_-66.7" 3314.3 2662.5 0.803337054581661 0.0833333333333333 4.67749084756772
"22" "94-09-05_49.16_-67.18_CI_III" "Cfin_GSL" "R4" NA "94-09-05" 1994 "9" 5 "D" 16 "LSLE" -67.18 49.16 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 0.332 8.3 "94-09-05_49.16_-67.18" 384.3 8.3 0.0215977101223003 0.0833333333333333 0.286681572118197
"23" "94-09-05_49.21_-67.23_CI_III" "Cfin_GSL" "R3" NA "94-09-05" 1994 "9" 5 "D" 13 "LSLE" -67.23 49.21 0 25 300 "Basins_100-325m" "Cfin" "CI_III" 0 0 "94-09-05_49.21_-67.23" 522.1 0 0 0.0833333333333333 0
