"YEAR"	"MONTH"	"DAY"	"TIME"	"LATITUDE"	"LONGITUDE"	"ODF_FILENAME"
"1978"	"01"	"04"	"0850"	42.7917	-63.5	"CTD_78001_002_1_DN"
"1978"	"01"	"04"	"2221"	42.9917	-63	"CTD_78001_004_1_DN"
"1978"	"01"	"05"	"0000"	43.0033	-63.1683	"CTD_78001_005_1_DN"
"1978"	"01"	"05"	"0323"	43.0067	-63.5033	"CTD_78001_007_1_DN"
"1978"	"01"	"05"	"0455"	43	-63.6667	"CTD_78001_008_1_DN"
"1978"	"01"	"05"	"0820"	43	-64	"CTD_78001_010_1_DN"
"1978"	"01"	"05"	"0944"	42.9167	-64	"CTD_78001_011_1_DN"
"1978"	"08"	"26"	"1550"	44.945	-61.3217	"CTD_78026_001_1_DN"
"1978"	"11"	"17"	"1539"	47.0833	-60.0267	"CTD_78034_001_1_DN"
"1978"	"11"	"17"	"1854"	47.4833	-60.3167	"CTD_78034_002_1_DN"
"1978"	"11"	"17"	"2255"	47.7517	-59.605	"CTD_78034_003_1_DN"
"1978"	"11"	"18"	"0231"	48	-59.5	"CTD_78034_004_1_DN"
"1978"	"11"	"21"	"2005"	47.825	-62.8167	"CTD_78034_036_1_DN"
"1978"	"11"	"21"	"2340"	47.1583	-63.1583	"CTD_78034_037_1_DN"
"1978"	"11"	"22"	"0345"	46.7733	-62.05	"CTD_78034_038_1_DN"
"1979"	"04"	"25"	"0117"	42.68	-64	"CTD_79007A_001_1_DN"
"1979"	"04"	"25"	"0347"	42.78	-64.15	"CTD_79007A_002_1_DN"
"1979"	"04"	"25"	"2120"	43.56	-65.14	"CTD_79007A_003_1_DN"
"1979"	"04"	"25"	"2345"	43.48	-65.03	"CTD_79007A_004_1_DN"
"1979"	"04"	"26"	"0107"	42.38	-64.97	"CTD_79007A_005_1_DN"
"1979"	"04"	"26"	"0249"	43.25	-64.8	"CTD_79007A_006_1_DN"
"1979"	"04"	"26"	"0415"	43.13	-64.63	"CTD_79007A_007_1_DN"
"1979"	"04"	"27"	"0730"	43.33	-65.63	"CTD_79007A_008_1_DN"
"1979"	"04"	"28"	"0045"	43.21	-65.76	"CTD_79007A_009_1_DN"
"1979"	"04"	"28"	"0045"	43.21	-65.76	"CTD_79007A_009_2_DN"
"1979"	"04"	"28"	"0521"	43.03	-65.77	"CTD_79007A_010_1_DN"
"1979"	"04"	"28"	"0641"	42.95	-65.79	"CTD_79007A_011_1_DN"
"1979"	"04"	"28"	"0801"	42.87	-65.81	"CTD_79007A_012_1_DN"
"1979"	"04"	"28"	"0919"	42.79	-65.83	"CTD_79007A_013_1_DN"
"1979"	"04"	"28"	"1035"	42.7	-65.86	"CTD_79007A_014_1_DN"
"1979"	"04"	"28"	"1149"	42.63	-65.88	"CTD_79007A_015_1_DN"
"1979"	"04"	"28"	"1314"	42.55	-65.91	"CTD_79007A_016_1_DN"
"1979"	"04"	"28"	"1446"	42.47	-65.97	"CTD_79007A_017_1_DN"
"1979"	"04"	"28"	"1605"	42.4	-66.02	"CTD_79007A_018_1_DN"
"1979"	"04"	"28"	"1740"	42.33	-66.08	"CTD_79007A_019_1_DN"
"1979"	"04"	"28"	"1740"	42.33	-66.08	"CTD_79007A_019_2_DN"
"1979"	"04"	"28"	"1908"	42.25	-66.13	"CTD_79007A_020_1_DN"
"1979"	"04"	"28"	"2037"	42.18	-66.18	"CTD_79007A_021_1_DN"
"1979"	"04"	"28"	"2154"	42.09	-66.2	"CTD_79007A_022_1_DN"
"1979"	"04"	"28"	"2343"	41.96	-66.33	"CTD_79007A_023_1_DN"
"1979"	"04"	"29"	"0344"	41.77	-66.03	"CTD_79007A_024_1_DN"
"1979"	"04"	"29"	"0505"	41.91	-65.9	"CTD_79007A_025_1_DN"
"1979"	"04"	"29"	"0643"	43.05	-65.76	"CTD_79007A_026_1_DN"
"1979"	"04"	"29"	"1619"	42.33	-65.3	"CTD_79007A_029_1_DN"
"1979"	"04"	"29"	"1820"	42.32	-65	"CTD_79007A_030_1_DN"
"1979"	"04"	"29"	"2014"	42.47	-65.07	"CTD_79007A_031_1_DN"
"1979"	"04"	"29"	"2134"	42.63	-65.15	"CTD_79007A_032_1_DN"
"1979"	"04"	"29"	"2253"	42.78	-65.22	"CTD_79007A_033_1_DN"
"1979"	"04"	"30"	"0019"	42.94	-65.3	"CTD_79007A_034_1_DN"
"1979"	"04"	"30"	"0140"	43.09	-65.37	"CTD_79007A_035_1_DN"
"1979"	"04"	"30"	"0304"	43.23	-65.45	"CTD_79007A_036_1_DN"
"1979"	"04"	"30"	"0539"	43.47	-65.05	"CTD_79007A_037_1_DN"
"1979"	"05"	"02"	"1131"	44.6667	-66.525	"CTD_79007B_001_1_DN"
"1979"	"05"	"02"	"1213"	44.6667	-66.525	"CTD_79007B_001_2_DN"
"1979"	"05"	"02"	"1753"	44.9283	-66.5417	"CTD_79007B_002_1_DN"
"1979"	"05"	"02"	"1832"	44.9283	-66.5417	"CTD_79007B_002_2_DN"
"1979"	"05"	"02"	"2020"	45	-66.4917	"CTD_79007B_003_1_DN"
"1979"	"05"	"03"	"0004"	45	-66.4917	"CTD_79007B_003_2_DN"
"1979"	"05"	"03"	"0249"	45.1167	-66.2833	"CTD_79007B_004_1_DN"
"1979"	"05"	"03"	"0425"	45.1167	-66.2833	"CTD_79007B_004_2_DN"
"1979"	"05"	"03"	"0723"	45.0833	-66.3667	"CTD_79007B_005_1_DN"
"1979"	"05"	"03"	"0832"	45.0833	-66.3667	"CTD_79007B_005_2_DN"
"1979"	"05"	"03"	"1317"	45.05	-66.4667	"CTD_79007B_006_1_DN"
"1979"	"05"	"03"	"1459"	45.05	-66.4667	"CTD_79007B_006_2_DN"
"1979"	"05"	"03"	"1730"	45.0967	-66.525	"CTD_79007B_007_1_DN"
"1979"	"05"	"03"	"2114"	45.0967	-66.525	"CTD_79007B_007_2_DN"
"1979"	"05"	"03"	"2301"	45.0833	-66.6	"CTD_79007B_008_1_DN"
"1979"	"05"	"04"	"0131"	45.0833	-66.6	"CTD_79007B_008_2_DN"
"1979"	"05"	"04"	"0537"	45.0333	-66.6	"CTD_79007B_009_1_DN"
"1979"	"05"	"04"	"0629"	45.0333	-66.6	"CTD_79007B_009_2_DN"
"1979"	"05"	"04"	"1017"	45.0583	-66.4417	"CTD_79007B_010_1_DN"
"1979"	"05"	"04"	"1235"	45.0583	-66.4417	"CTD_79007B_010_2_DN"
"1979"	"05"	"04"	"1337"	45.0583	-66.4417	"CTD_79007B_010_3_DN"
"1979"	"05"	"04"	"1429"	45.0583	-66.4417	"CTD_79007B_010_4_DN"
"1979"	"05"	"04"	"1653"	45.0583	-66.4417	"CTD_79007B_010_5_DN"
"1979"	"05"	"04"	"1727"	45.0583	-66.4417	"CTD_79007B_010_6_DN"
"1979"	"05"	"04"	"1826"	45.0583	-66.4417	"CTD_79007B_010_7_DN"
"1979"	"05"	"04"	"1928"	45.0583	-66.4417	"CTD_79007B_010_8_DN"
"1979"	"05"	"04"	"2024"	45.0583	-66.4417	"CTD_79007B_010_9_DN"
"1979"	"05"	"04"	"2123"	45.0583	-66.4417	"CTD_79007B_010_10_DN"
"1979"	"05"	"04"	"2228"	45.0583	-66.4417	"CTD_79007B_010_11_DN"
"1979"	"05"	"04"	"2327"	45.0583	-66.4417	"CTD_79007B_010_12_DN"
"1979"	"05"	"05"	"0031"	45.0583	-66.4417	"CTD_79007B_010_13_DN"
"1979"	"05"	"05"	"0129"	45.0583	-66.4417	"CTD_79007B_010_14_DN"
"1979"	"05"	"05"	"0229"	45.0583	-66.4417	"CTD_79007B_010_15_DN"
"1979"	"05"	"05"	"0326"	45.0583	-66.4417	"CTD_79007B_010_16_DN"
"1979"	"05"	"05"	"0424"	45.0583	-66.4417	"CTD_79007B_010_17_DN"
"1979"	"05"	"05"	"0526"	45.0583	-66.4417	"CTD_79007B_010_18_DN"
"1979"	"05"	"05"	"0626"	45.0583	-66.4417	"CTD_79007B_010_19_DN"
"1979"	"05"	"05"	"0725"	45.0583	-66.4417	"CTD_79007B_010_20_DN"
"1979"	"05"	"05"	"0823"	45.0583	-66.4417	"CTD_79007B_010_21_DN"
"1979"	"05"	"05"	"0928"	45.0583	-66.4417	"CTD_79007B_010_22_DN"
"1979"	"05"	"05"	"1027"	45.0583	-66.4417	"CTD_79007B_010_23_DN"
"1979"	"05"	"05"	"1130"	45.0583	-66.4417	"CTD_79007B_010_24_DN"
"1979"	"05"	"05"	"1227"	45.0583	-66.4417	"CTD_79007B_010_25_DN"
"1979"	"08"	"06"	"1637"	44.2017	-63.4667	"CTD_79022_000_1_DN"
"1979"	"08"	"07"	"0149"	42.6833	-64	"CTD_79022_001_1_DN"
"1979"	"08"	"07"	"0406"	42.785	-64.13	"CTD_79022_002_1_DN"
"1979"	"08"	"07"	"0542"	42.917	-64.2733	"CTD_79022_003_1_DN"
"1979"	"08"	"07"	"0702"	43.0167	-64.425	"CTD_79022_004_1_DN"
"1979"	"08"	"07"	"0833"	43.1333	-64.6333	"CTD_79022_005_1_DN"
"1979"	"08"	"07"	"0946"	43.25	-64.8	"CTD_79022_006_1_DN"
"1979"	"08"	"07"	"1111"	43.3833	-64.9	"CTD_79022_007_1_DN"
"1979"	"08"	"07"	"1235"	43.4667	-65.0667	"CTD_79022_008_1_DN"
"1979"	"08"	"07"	"1420"	43.56	-65.1	"CTD_79022_009_1_DN"
"1979"	"08"	"07"	"1821"	43.2467	-65.4667	"CTD_79022_010_1_DN"
"1979"	"08"	"07"	"1939"	43.0983	-65.39	"CTD_79022_011_1_DN"
"1979"	"08"	"07"	"2054"	42.945	-65.3133	"CTD_79022_012_1_DN"
"1979"	"08"	"07"	"2212"	42.7916	-65.2333	"CTD_79022_013_1_DN"
"1979"	"08"	"07"	"2351"	42.6367	-65.1533	"CTD_79022_014_1_DN"
"1979"	"08"	"08"	"0124"	42.4883	-65.0783	"CTD_79022_015_1_DN"
"1979"	"08"	"08"	"0251"	42.3333	-65	"CTD_79022_016_1_DN"
"1979"	"08"	"08"	"0444"	42.3333	-65.0217	"CTD_79022_017_1_DN"
